id,medicament_id,forme,dosage
56,11,EZETIMIBE/SIMVASTATINE EVOLUGEN 10 mg/20 mg Cpr Plq/90 | Cip : 3400930095355 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/90
57,12,comprimé (rose pâle) ; boîte de 30,10 mg/20 mg
58,12,comprimé (rose pâle) ; boîte de 90,10 mg/20 mg
59,12,comprimé (blanc) ; boîte de 30,10 mg/40 mg
60,12,comprimé (blanc) ; boîte de 90,10 mg/40 mg
61,12,"EZETIMIBE/SIMVASTATINE KRKA 10 mg/40 mg Cpr Plq OPA/Alu/PVC/90 | Cip : 3400930166307 ; Modalités de conservation : Avant ouverture : durant 24 mois (Conserver à l'abri de la lumière, Conserver à l'abri de l'humidité, Conserver dans son emballage) | Statut: Commercialisé",10 mg/40 mg Cpr Plq OPA/Alu/PVC/90
62,12,"EZETIMIBE/SIMVASTATINE KRKA 10 mg/40 mg Cpr Plq/30 | Cip : 3400930159989 ; Modalités de conservation : Avant ouverture : durant 24 mois (Conserver à l'abri de la lumière, Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Commercialisé",10 mg/40 mg Cpr Plq/30
63,12,"EZETIMIBE/SIMVASTATINE KRKA 10 mg/20 mg Cpr Plq OPA/Alu/PVC/90 | Cip : 3400930166284 ; Modalités de conservation : Avant ouverture : durant 24 mois (Conserver à l'abri de la lumière, Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Commercialisé",10 mg/20 mg Cpr Plq OPA/Alu/PVC/90
64,12,"EZETIMIBE/SIMVASTATINE KRKA 10 mg/20 mg Cpr Plq/30 | Cip : 3400930159927 ; Modalités de conservation : Avant ouverture : durant 24 mois (Conserver à l'abri de la lumière, Conserver dans son emballage, Conserver à l'abri de l'humidité) | Statut: Commercialisé",10 mg/20 mg Cpr Plq/30
65,13,comprimé (brun clair) ; boîte de 30,10 mg/20 mg
66,13,comprimé (brun clair) ; boîte de 90,10 mg/20 mg
67,13,comprimé (brun clair) ; boîte de 30,10 mg/40 mg
68,13,comprimé (brun clair) ; boîte de 90,10 mg/40 mg
69,13,EZETIMIBE/SIMVASTATINE SANDOZ 10 mg/40 mg Cpr Plq/30 | Cip : 3400930097502 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq/30
70,13,EZETIMIBE/SIMVASTATINE SANDOZ 10 mg/40 mg Cpr Plq/90 | Cip : 3400930097526 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/40 mg Cpr Plq/90
71,13,EZETIMIBE/SIMVASTATINE SANDOZ 10 mg/20 mg Cpr Plq/30 | Cip : 3400930097441 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/30
72,13,EZETIMIBE/SIMVASTATINE SANDOZ 10 mg/20 mg Cpr Plq/90 | Cip : 3400930097465 ; Modalités de conservation : Avant ouverture : < 25° durant 24 mois | Statut: Commercialisé,10 mg/20 mg Cpr Plq/90
73,14,comprimé (blanc) ; boîte de 30,10 mg/20 mg
74,14,comprimé (blanc) ; boîte de 90,10 mg/20 mg
75,14,comprimé (blanc) ; boîte de 30,10 mg/40 mg
76,14,comprimé (blanc) ; boîte de 90,10 mg/40 mg
77,14,EZETIMIBE/SIMVASTATINE TEVA 10 mg/40 mg Cpr Fl/30 | Cip : 3400930117743 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Supprimé,10 mg/40 mg Cpr Fl/30
78,14,EZETIMIBE/SIMVASTATINE TEVA 10 mg/40 mg Cpr Fl/90 | Cip : 3400930130926 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Supprimé,10 mg/40 mg Cpr Fl/90
79,14,EZETIMIBE/SIMVASTATINE TEVA 10 mg/20 mg Cpr Fl/30 | Cip : 3400930117736 ; Modalités de conservation : Avant ouverture : durant 24 mois | Statut: Supprimé,10 mg/20 mg Cpr Fl/30
