id,medicament_id,frequence,effet
79579,5676,Fréquents (1 à 10 % des personnes),diarrhée
79580,5676,Fréquents (1 à 10 % des personnes),douleurs digestives
79581,5676,Fréquents (1 à 10 % des personnes),maux de tête
79582,5676,Fréquents (1 à 10 % des personnes),étourdissement
79583,5676,Fréquents (1 à 10 % des personnes),fatigue
79584,5676,Fréquents (1 à 10 % des personnes),malaise
79585,5676,Fréquents (1 à 10 % des personnes),crampes
79586,5676,Fréquents (1 à 10 % des personnes),douleurs musculaires
79587,5676,Fréquents (1 à 10 % des personnes),élévation du taux de potassium dans le sang.
79588,5676,Réaction allergique,éruption cutanée
79589,5676,Réaction allergique,démangeaisons
79590,5676,Réaction allergique,œdème de Quincke.
79591,5676,"Peu fréquents (0,1 à 1 % des personnes)",palpitations
79592,5676,"Peu fréquents (0,1 à 1 % des personnes)",œdèmes
79593,5676,"Peu fréquents (0,1 à 1 % des personnes)",vertiges
79594,5676,"Peu fréquents (0,1 à 1 % des personnes)",fourmillements
79595,5676,"Peu fréquents (0,1 à 1 % des personnes)",perte ou modification du goût
79596,5676,"Peu fréquents (0,1 à 1 % des personnes)",anxiété
79597,5676,"Peu fréquents (0,1 à 1 % des personnes)",nervosité inhabituelle
79598,5676,"Peu fréquents (0,1 à 1 % des personnes)",humeur dépressive
79599,5676,"Peu fréquents (0,1 à 1 % des personnes)",somnolence
79600,5676,"Peu fréquents (0,1 à 1 % des personnes)",nez bouché
79601,5676,"Peu fréquents (0,1 à 1 % des personnes)",constipation
79602,5676,"Peu fréquents (0,1 à 1 % des personnes)",brûlures d'estomac
79603,5676,"Peu fréquents (0,1 à 1 % des personnes)",bouche sèche
79604,5676,"Peu fréquents (0,1 à 1 % des personnes)",perte d'appétit
79605,5676,"Peu fréquents (0,1 à 1 % des personnes)",bouffées de chaleur
79606,5676,"Peu fréquents (0,1 à 1 % des personnes)",transpiration excessive
79607,5676,"Peu fréquents (0,1 à 1 % des personnes)",vision trouble
79608,5676,"Peu fréquents (0,1 à 1 % des personnes)",douleurs articulaires
79609,5676,"Peu fréquents (0,1 à 1 % des personnes)",baisse de la libido
79610,5676,"Peu fréquents (0,1 à 1 % des personnes)",augmentation du volume des urines
79611,5676,"Peu fréquents (0,1 à 1 % des personnes)",pancréatite
79612,5676,"Peu fréquents (0,1 à 1 % des personnes)",élévation des transaminases.
79613,5676,"Rares (moins de 0,1 % des personnes)",anomalie de la numération formule sanguine
79614,5676,"Rares (moins de 0,1 % des personnes)",agranulocytose
79615,5676,"Rares (moins de 0,1 % des personnes)",tremblements
79616,5676,"Rares (moins de 0,1 % des personnes)",bourdonnement d'oreilles.
79617,5677,Fréquents,toux sèche persistante
79618,5677,Fréquents,sinusite
79619,5677,Fréquents,essoufflement
79620,5677,Fréquents,baisse excessive de la tension artérielle (voir Attention)
79621,5677,Fréquents,hypotension orthostatique
79622,5677,Fréquents,nausées
79623,5677,Fréquents,vomissements
79624,5677,Fréquents,diarrhée
79625,5677,Fréquents,douleurs digestives
79626,5677,Fréquents,maux de tête
79627,5677,Fréquents,étourdissement
79628,5677,Fréquents,fatigue
79629,5677,Fréquents,malaise
79630,5677,Fréquents,crampes
79631,5677,Fréquents,douleurs musculaires
79632,5677,Fréquents,élévation du taux de potassium dans le sang.
79633,5677,Réaction allergique,éruption cutanée
79634,5677,Réaction allergique,démangeaisons
79635,5677,Réaction allergique,œdème de Quincke.
79636,5677,Peu fréquents,palpitations
79637,5677,Peu fréquents,œdèmes
79638,5677,Peu fréquents,vertiges
79639,5677,Peu fréquents,fourmillements
79640,5677,Peu fréquents,perte ou modification du goût
79641,5677,Peu fréquents,anxiété
79642,5677,Peu fréquents,nervosité inhabituelle
79643,5677,Peu fréquents,humeur dépressive
79644,5677,Peu fréquents,somnolence
79645,5677,Peu fréquents,nez bouché
79646,5677,Peu fréquents,constipation
79647,5677,Peu fréquents,brûlures d'estomac
79648,5677,Peu fréquents,bouche sèche
79649,5677,Peu fréquents,perte d'appétit
79650,5677,Peu fréquents,bouffées de chaleur
79651,5677,Peu fréquents,transpiration excessive
79652,5677,Peu fréquents,vision trouble
79653,5677,Peu fréquents,douleurs articulaires
79654,5677,Peu fréquents,baisse de la libido
79655,5677,Peu fréquents,augmentation du volume des urines
79656,5677,Peu fréquents,pancréatite
79657,5677,Peu fréquents,élévation des transaminases.
79658,5677,Rares,anomalie de la numération formule sanguine
79659,5677,Rares,agranulocytose
79660,5677,Rares,tremblements
79661,5677,Rares,bourdonnement d'oreilles.
79662,5678,Fréquents (1 à 10 % des personnes),toux sèche persistante
79663,5678,Fréquents (1 à 10 % des personnes),sinusite
79664,5678,Fréquents (1 à 10 % des personnes),essoufflement
79665,5678,Fréquents (1 à 10 % des personnes),baisse excessive de la tension artérielle (voir Attention)
79666,5678,Fréquents (1 à 10 % des personnes),hypotension orthostatique
79667,5678,Fréquents (1 à 10 % des personnes),nausées
79668,5678,Fréquents (1 à 10 % des personnes),vomissements
79669,5678,Fréquents (1 à 10 % des personnes),diarrhée
79670,5678,Fréquents (1 à 10 % des personnes),douleurs digestives
79671,5678,Fréquents (1 à 10 % des personnes),maux de tête
79672,5678,Fréquents (1 à 10 % des personnes),étourdissement
79673,5678,Fréquents (1 à 10 % des personnes),fatigue
79674,5678,Fréquents (1 à 10 % des personnes),malaise
79675,5678,Fréquents (1 à 10 % des personnes),crampes
79676,5678,Fréquents (1 à 10 % des personnes),douleurs musculaires
79677,5678,Fréquents (1 à 10 % des personnes),élévation du taux de potassium dans le sang.
79678,5678,Réaction allergique,éruption cutanée
79679,5678,Réaction allergique,démangeaisons
79680,5678,Réaction allergique,œdème de Quincke.
79681,5678,"Peu fréquents (0,1 à 1 % des personnes)",palpitations
79682,5678,"Peu fréquents (0,1 à 1 % des personnes)",œdèmes
79683,5678,"Peu fréquents (0,1 à 1 % des personnes)",vertiges
79684,5678,"Peu fréquents (0,1 à 1 % des personnes)",fourmillements
79685,5678,"Peu fréquents (0,1 à 1 % des personnes)",perte ou modification du goût
79686,5678,"Peu fréquents (0,1 à 1 % des personnes)",anxiété
79687,5678,"Peu fréquents (0,1 à 1 % des personnes)",nervosité inhabituelle
79688,5678,"Peu fréquents (0,1 à 1 % des personnes)",humeur dépressive
79689,5678,"Peu fréquents (0,1 à 1 % des personnes)",somnolence
79690,5678,"Peu fréquents (0,1 à 1 % des personnes)",nez bouché
79691,5678,"Peu fréquents (0,1 à 1 % des personnes)",constipation
79692,5678,"Peu fréquents (0,1 à 1 % des personnes)",brûlures d'estomac
79693,5678,"Peu fréquents (0,1 à 1 % des personnes)",bouche sèche
79694,5678,"Peu fréquents (0,1 à 1 % des personnes)",perte d'appétit
79695,5678,"Peu fréquents (0,1 à 1 % des personnes)",bouffées de chaleur
79696,5678,"Peu fréquents (0,1 à 1 % des personnes)",transpiration excessive
79697,5678,"Peu fréquents (0,1 à 1 % des personnes)",vision trouble
79698,5678,"Peu fréquents (0,1 à 1 % des personnes)",douleurs articulaires
79699,5678,"Peu fréquents (0,1 à 1 % des personnes)",baisse de la libido
79700,5678,"Peu fréquents (0,1 à 1 % des personnes)",augmentation du volume des urines
