id,medicament_id,nom_substance
7933,3463,Thymol
7934,3463,Cinéole (eucalyptol)
7935,3463,Lévomenthol
7936,3463,sodium benzoate
7937,3463,sodium salicylate
7938,3463,sodium borate
7939,3463,thymol
7940,3463,cinéole
7941,3463,lévomenthol
7942,3464,lidocaïne chlorhydrate monohydrate
7943,3466,Glycopyrronium bromure
7944,3466,glycopyrronium bromure
7945,3467,Glycérol
7946,3467,Vaseline
7947,3467,Paraffine liquide
7948,3467,glycérol
7949,3467,vaseline
7950,3467,paraffine liquide
7951,3468,Glycérol
7952,3468,Vaseline
7953,3468,Paraffine liquide
7954,3468,glycérol
7955,3468,vaseline
7956,3468,paraffine liquide
7957,3469,Glycérol
7958,3469,Vaseline
7959,3469,Paraffine liquide
7960,3469,glycérol
7961,3469,vaseline
7962,3469,paraffine liquide
7963,3470,Glycérol
7964,3470,Vaseline
7965,3470,Paraffine liquide
7966,3470,glycérol
7967,3470,vaseline
7968,3470,paraffine liquide
7969,3471,Glycérol
7970,3471,Vaseline
7971,3471,Paraffine liquide
7972,3471,glycérol
7973,3471,vaseline
7974,3471,paraffine liquide
7975,3472,Glycérol
7976,3472,Vaseline
7977,3472,Paraffine liquide
7978,3472,glycérol
7979,3472,vaseline
7980,3472,paraffine liquide
7981,3473,Glycérol
7982,3473,Vaseline
7983,3473,Paraffine liquide
7984,3473,glycérol
7985,3473,vaseline
7986,3473,paraffine liquide
7987,3474,Glycérol
7988,3474,Vaseline
7989,3474,Paraffine liquide
7990,3474,glycérol
7991,3474,vaseline
7992,3474,paraffine liquide
7993,3475,Glycérol
7994,3475,Vaseline
7995,3475,Paraffine liquide
7996,3475,glycérol
7997,3475,vaseline
7998,3475,paraffine liquide
7999,3476,fludésoxyglucose 18F
8000,3477,Glycérol
8001,3477,Vaseline
8002,3477,Paraffine liquide
8003,3477,glycérol
8004,3477,vaseline
8005,3477,paraffine liquide
8006,3478,fludésoxyglucose 18F
8007,3479,fludésoxyglucose 18F
8008,3480,Metformine chlorhydrate
8009,3480,Glibenclamide
8010,3480,metformine chlorhydrate
8011,3480,glibenclamide
8012,3481,glucose monohydrate
8013,3482,glucose monohydrate
8014,3483,glucose monohydrate
8015,3484,glucose monohydrate
8016,3485,glucose monohydrate
8017,3486,glucose monohydrate
8018,3486,sodium chlorure
8019,3487,glucose monohydrate
8020,3488,glucose monohydrate
8021,3489,glucose monohydrate
8022,3490,glucose monohydrate
8023,3491,glucose monohydrate
8024,3492,Acarbose
