id,medicament_id,description
145,49,inflammation intraoculaire grave.
146,50,"allergie aux antibiotiques de la famille des quinolones ou aux antiseptiques de la famille des ammoniums quaternaires (présence de benzalkonium),"
147,50,allaitement.
148,51,"allergie à l'interféron ou au peginterféron,"
149,51,"dépression grave ou idées suicidaires,"
150,51,insuffisance hépatique grave.
151,52,Ce médicament ne doit pas être utilisé en cas d'allergie aux pénicillines.
152,52,Votre médecin est seul juge pour prescrire ce médicament en cas d'allergie aux céphalosporines.
153,53,"nourrisson de moins de 2 ans,"
154,53,phénylcétonurie (granulé et poudre pour solution buvable : présence d'aspartam).
155,54,"femme non ménopausée,"
156,54,"grossesse,"
157,54,allaitement.
158,55,"insuffisance hépatique grave, obstruction des voies biliaires ;"
159,55,"hypotension grave, état de choc ;"
160,55,"cardiomyopathie obstructive, sténose de la valve aortique ;"
161,55,insuffisance cardiaque après un infarctus du myocarde ;
162,55,en association avec les médicaments contenant de l'aliskiren chez les patients diabétiques ou insuffisants rénaux ;
163,55,grossesse (à partir du 4e mois).
164,58,"femme non ménopausée,"
165,58,"grossesse,"
166,58,allaitement.
167,59,"femme non ménopausée,"
168,59,"grossesse,"
169,59,allaitement.
170,60,"femme non ménopausée,"
171,60,"grossesse,"
172,60,allaitement.
173,61,"femme non ménopausée,"
174,61,"grossesse,"
175,61,allaitement.
176,62,"femme non ménopausée,"
177,62,"grossesse,"
178,62,allaitement.
179,63,"femme non ménopausée,"
180,63,"grossesse,"
181,63,allaitement.
182,64,"femme non ménopausée,"
183,64,"grossesse,"
184,64,allaitement.
185,65,"femme non ménopausée,"
186,65,"grossesse,"
187,65,allaitement.
188,66,"femme non ménopausée,"
189,66,"grossesse,"
190,66,allaitement.
191,67,"femme non ménopausée,"
192,67,"grossesse,"
193,67,allaitement.
194,68,"femme non ménopausée,"
195,68,"grossesse,"
196,68,allaitement.
197,70,"accident thromboembolique,"
198,70,"insuffisance rénale grave,"
199,70,"antécédent de convulsions,"
200,70,coagulation intravasculaire disséminée.
201,71,"certaines formes de bloc auriculoventriculaire,"
202,71,"insuffisance cardiaque,"
203,71,"infarctus du myocarde récent ou ancien (sauf cas exceptionnel),"
204,71,"en association avec les bêtabloquants utilisés dans les troubles du rythme cardiaque (carvédilol, bisoprolol, métoprolol)."
205,72,Ce médicament ne doit pas être utilisé en cas d'intolérance antérieure à ce médicament ou à une substance de la même famille (carbamates).
206,76,"accident thromboembolique (phlébite, embolie pulmonaire...) ancien ou survenant au cours de la contraception, prédisposition connue aux thromboses veineuses ou artérielles ;"
207,76,cancer hormonodépendant (même guéri) ;
208,76,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement) ;
209,76,"maladie du foie, grave ou récente, y compris les tumeurs bénignes ou malignes ;"
210,76,hypertension artérielle grave ;
211,76,diabète avec lésions vasculaires ;
212,76,antécédent de migraine graves accompagnée de signes neurologiques (paralysies...).
213,79,"Ce médicament ne doit pas être associé aux anticonvulsivants contenant de la carbamazépine, de l'oxcarbazépine, du phénobarbital, de la phénytoïne, aux antibactériens contenant de la rifampicine, aux antiulcéreux de la famille des inhibiteurs de la pompe à protons, à la dexaméthasone ou aux produits de phytothérapie contenant du millepertuis."
214,81,"antécédent d'accident thromboembolique (phlébite, embolie pulmonaire...) ;"
215,81,"insuffisance hépatique, ictère (jaunisse) chronique ;"
216,81,insuffisance rénale grave ;
217,81,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens appropriés avant la mise en route du traitement) ;
218,81,cancer du corps de l'utérus (l'effet de ce médicament n'est pas connu dans cette situation) ;
219,81,femme non ménopausée.
220,83,"Ce médicament ne doit pas être utilisé en cas d'allergie à des substances proches (sirolimus, temsirolimus)."
221,84,"Ce médicament ne doit pas être utilisé en cas d'allergie à des substances proches (sirolimus, temsirolimus)."
222,85,"Ce médicament ne doit pas être utilisé en cas d'allergie à des substances proches (sirolimus, temsirolimus)."
223,86,"Ce médicament ne doit pas être utilisé en cas d'allergie à des substances proches (sirolimus, temsirolimus)."
224,87,"accident thromboembolique artériel (infarctus du myocarde, accident vasculaire cérébral...) ou veineux (phlébite, embolie pulmonaire...) ancien ou en cours ;"
225,87,"formes graves de maladie cardiovasculaire (hypertension artérielle, angine de poitrine, lésion des valves cardiaques, anomalie de la circulation sanguine cérébrale ou rétinienne) ;"
226,87,excès important de cholestérol ou de triglycérides dans le sang ;
227,87,diabète avec lésions vasculaires ;
228,87,prédisposition aux thromboses (anomalies de la coagulation sanguine) ;
229,87,antécédent de migraines avec troubles de la vision ;
230,87,"maladie du foie, grave ou récente ;"
231,87,pancréatite ;
232,87,"cancer hormonodépendant (même guéri), tumeur de l'hypophyse ;"
233,87,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route du traitement) ;
234,87,méningiome (tumeur cérébrale) ancien ou survenant en cours de traitement ;
235,87,"en association avec un contraceptif hormonal (pilule, patch...), les médicaments contenant l'association glécaprévir/pibrentasvir ou du millepertuis."
236,88,"Ce médicament ne doit pas être utilisé en cas d'allergie à des substances proches (sirolimus, temsirolimus)."
237,89,"Ce médicament ne doit pas être utilisé en cas d'allergie à des substances proches (sirolimus, temsirolimus)."
238,90,"Ce médicament ne doit pas être utilisé en cas d'allergie à des substances proches (sirolimus, temsirolimus)."
239,91,"Ce médicament ne doit pas être utilisé en cas d'allergie à des substances proches (sirolimus, temsirolimus)."
240,92,"accident thromboembolique veineux (phlébite, embolie pulmonaire) ou artériel (infarctus du myocarde, accident vasculaire cérébral) ancien ou survenant au cours de la contraception ;"
241,92,"prédisposition connue aux thromboses (déficit en protéine C, résistance à la protéine C activée par exemple) ;"
242,92,"situations susceptibles d'augmenter le risque de thrombose artérielle : hypertension artérielle grave, lésion des valves cardiaques, certains troubles du rythme cardiaque, diabète avec lésions vasculaires, excès important de cholestérol ou de triglycérides dans le sang ;"
243,92,pancréatite ;
244,92,"maladie du foie, grave ou récente ;"
245,92,tumeur du foie ancienne ou en cours ;
246,92,cancer hormonodépendant (cancer du sein ou de l'utérus par exemple) ;
247,92,saignement génital intermittent (l'origine de ce saignement doit être déterminée par des examens avant la mise en route de la contraception) ;
248,92,antécédent de migraine grave accompagnée de signes neurologiques (paralysies...) ;
249,92,"en association avec les produits contenant du millepertuis, du dasabuvir ou de l'ombitasvir/paritaprévir."
250,93,"hypocalcémie,"
251,93,antécédent d'infarctus du myocarde ou d'accident vasculaire cérébral.
252,94,Ce médicament ne doit pas être utilisé dans les cas suivants
253,94,"hyperthyroïdie (sauf si celle-ci est l'objet d'un traitement spécifique),"
254,94,"insuffisance surrénalienne ou insuffisance hypophysaire non traitées,"
255,94,myocardite aiguë ou infarctus du myocarde récent.
256,94,"Votre médecin est seul juge pour prescrire ce médicament en cas d'insuffisance coronarienne, d'insuffisance cardiaque grave ou de troubles du rythme cardiaque."
257,97,"allergie aux sulfamides,"
258,97,"rétention d'urine par obstruction importante des voies urinaires,"
259,97,"déshydratation (surtout chez la personne âgée),"
260,97,"insuffisance rénale grave,"
261,97,"encéphalopathie hépatique,"
262,97,"enfant de moins de 15 ans,"
263,97,"grossesse,"
264,97,allaitement.
265,98,Ce médicament ne doit pas être utilisé sur les lésions infectées ou suintantes.
266,99,anomalie de l'électrocardiogramme prédisposant aux torsades de pointes ;
267,99,"antécédent de troubles du rythme cardiaque, de bradycardie ou d'insuffisance cardiaque ;"
268,99,baisse du taux de potassium ou de magnésium dans le sang ;
269,99,"en association avec les médicaments favorisant les torsades de pointes ou les médicaments contenant l'une des substances suivantes : flécaïnide, métoprolol, imipramine, amitriptyline, clomipramine."
270,102,Ce médicament ne doit pas être utilisé chez l'enfant de moins de 2 ans.
271,104,Ce collyre ne doit pas être utilisé chez l'enfant de moins de 1 an.
272,106,Ce médicament ne doit pas être utilisé chez l'enfant de moins de 12 ans.
273,108,Ce médicament ne doit pas être utilisé chez l'enfant de moins de 6 ans.
274,110,acidocétose ;
275,110,"insuffisance rénale grave, maladie aiguë pouvant provoquer une insuffisance rénale (voir Attention) ;"
276,110,"insuffisance cardiaque, insuffisance respiratoire, infarctus du myocarde récent ;"
277,110,insuffisance hépatique ;
278,110,"état d'ivresse, alcoolisme ;"
279,110,allaitement.
280,111,antécédent d'allergie ou d'asthme provoqué par la prise d'AINS y compris l'aspirine ;
281,111,ulcère de l'estomac en évolution ou saignement digestif ;
282,111,insuffisance hépatique ou insuffisance rénale grave ;
283,111,"maladie inflammatoire de l'intestin (maladie de Crohn, rectocolite hémorragique) ;"
284,111,insuffisance cardiaque grave ;
285,111,hypertension artérielle non contrôlée par un traitement ;
286,111,"maladie des artères coronaires (insuffisance coronarienne), artérite, antécédent d'accident vasculaire cérébral ;"
